,rp_date,cp_id,device,imps,clicks,cost,cv_t
294,2017/10/22,652057083,1,254,0,0,0
295,2017/10/23,652057083,1,247,1,132,0
296,2017/10/24,652057083,1,161,1,218,0
297,2017/10/25,652057083,1,107,1,94,0
298,2017/10/26,652057083,1,66,2,222,0
299,2017/10/27,652057083,1,47,0,0,0
300,2017/10/28,652057083,1,28,0,0,0
301,2017/10/29,652057083,1,98,0,0,0
302,2017/10/30,652057083,1,82,1,69,0
303,2017/10/31,652057083,1,118,0,0,0
304,2017/11/1,652057083,1,103,0,0,0
305,2017/11/2,652057083,1,111,0,0,0
306,2017/11/3,652057083,1,108,2,173,0
307,2017/11/4,652057083,1,142,0,0,0
308,2017/11/5,652057083,1,197,2,154,0
309,2017/11/6,652057083,1,113,4,380,0
310,2017/11/7,652057083,1,153,2,140,0
311,2017/11/8,652057083,1,173,1,97,0
312,2017/11/9,652057083,1,135,1,51,0
313,2017/11/10,652057083,1,145,2,208,0
314,2017/11/11,652057083,1,246,2,176,0
315,2017/11/12,652057083,1,361,0,0,0
316,2017/11/13,652057083,1,312,2,96,0
317,2017/11/14,652057083,1,256,4,591,0
318,2017/11/15,652057083,1,288,0,0,0
319,2017/11/16,652057083,1,327,1,117,0
320,2017/11/17,652057083,1,278,3,274,0
321,2017/11/18,652057083,1,249,0,0,0
322,2017/11/19,652057083,1,267,4,423,0
323,2017/11/20,652057083,1,156,0,0,0
324,2017/11/21,652057083,1,219,1,94,0
325,2017/11/22,652057083,1,141,2,278,0
326,2017/11/23,652057083,1,161,1,77,0
327,2017/11/24,652057083,1,111,3,161,0
328,2017/11/25,652057083,1,135,2,201,0
329,2017/11/26,652057083,1,251,2,170,0
330,2017/11/27,652057083,1,200,1,127,0
331,2017/11/28,652057083,1,195,1,89,0
332,2017/11/29,652057083,1,237,2,180,2
333,2017/11/30,652057083,1,163,0,0,0
334,2017/12/1,652057083,1,68,0,0,0
335,2017/12/2,652057083,1,70,0,0,0
336,2017/12/3,652057083,1,112,1,135,0
337,2017/12/4,652057083,1,74,1,28,0
338,2017/12/5,652057083,1,84,2,193,0
339,2017/12/6,652057083,1,95,3,224,0
340,2017/12/7,652057083,1,118,0,0,0
341,2017/12/8,652057083,1,90,2,176,1
342,2017/12/9,652057083,1,143,2,180,0
343,2017/12/10,652057083,1,229,2,131,0
344,2017/12/11,652057083,1,234,1,88,0
345,2017/12/12,652057083,1,558,0,0,0
346,2017/12/13,652057083,1,288,0,0,0
347,2017/12/14,652057083,1,279,2,196,0
348,2017/12/15,652057083,1,153,0,0,0
349,2017/12/16,652057083,1,209,0,0,0
350,2017/12/17,652057083,1,346,1,86,0
351,2017/12/18,652057083,1,261,5,467,1
352,2017/12/19,652057083,1,234,1,84,0
353,2017/12/20,652057083,1,95,1,41,1
354,2017/12/21,652057083,1,93,0,0,0
355,2017/12/22,652057083,1,74,0,0,0
356,2017/12/23,652057083,1,131,2,144,0
357,2017/12/24,652057083,1,192,2,193,0
358,2017/12/25,652057083,1,97,2,111,0
359,2017/12/26,652057083,1,154,0,0,0
360,2017/12/27,652057083,1,98,1,171,0
361,2017/12/28,652057083,1,94,0,0,0
362,2017/12/29,652057083,1,114,0,0,0
363,2017/12/30,652057083,1,163,0,0,0
364,2017/12/31,652057083,1,276,0,0,0
365,2018/1/1,652057083,1,133,0,0,0
366,2018/1/2,652057083,1,201,0,0,0
367,2018/1/3,652057083,1,262,0,0,0
368,2018/1/4,652057083,1,206,0,0,0
369,2018/1/5,652057083,1,328,1,68,0
370,2018/1/6,652057083,1,321,1,87,0
371,2018/1/7,652057083,1,614,0,0,0
372,2018/1/8,652057083,1,445,1,114,0
373,2018/1/9,652057083,1,383,2,127,0
374,2018/1/10,652057083,1,359,2,138,0
375,2018/1/11,652057083,1,556,3,199,0
376,2018/1/12,652057083,1,405,1,89,3
377,2018/1/13,652057083,1,786,2,269,0
378,2018/1/14,652057083,1,694,8,689,1
379,2018/1/15,652057083,1,375,1,42,0
380,2018/1/16,652057083,1,284,6,463,1
381,2018/1/17,652057083,1,454,3,161,0
382,2018/1/18,652057083,1,375,1,70,0
383,2018/1/19,652057083,1,336,0,0,0
384,2018/1/20,652057083,1,485,1,91,0
385,2018/1/21,652057083,1,673,3,301,0
386,2018/1/22,652057083,1,544,3,297,0
387,2018/1/23,652057083,1,478,3,289,0
388,2018/1/24,652057083,1,500,5,325,0
389,2018/1/25,652057083,1,477,5,549,0
390,2018/1/26,652057083,1,398,1,180,0
391,2018/1/27,652057083,1,738,3,325,4
392,2018/1/28,652057083,1,779,0,0,0
393,2018/1/29,652057083,1,597,5,450,0
394,2018/1/30,652057083,1,564,1,106,0
395,2018/1/31,652057083,1,367,4,431,0
396,2018/2/1,652057083,1,439,3,321,0
397,2018/2/2,652057083,1,297,2,211,0
398,2018/2/3,652057083,1,511,3,174,0
399,2018/2/4,652057083,1,637,4,305,0
